,game_name,release_date,genre,developer,publisher,ram_minimum,gpu_minimum,ram_recommended,gpu_recommended
0,Assassin's Creed Shadows,2025. March 20.,"Action, Adventure",Ubisoft Quebec,Ubisoft,16 GB Dual-channel,Nvidia® GeForce GTX™ 1070 8GB / AMD Radeon™ RX 5700 8GB / Intel® Arc™ A580 8GB (REBAR ON),16 GB Dual-channel,Nvidia® GeForce RTX™ 3060 Ti 8GB / AMD Radeon™ RX 6700 XT 12GB / Intel® Arc™ B580 12GB (REBAR ON)
1,inZOI,2025. March 28.,"Simulation, Life simulation",inZOI Studio,Krafton,12 GB RAM,"NVIDIA RTX 2060 (8G VRAM), AMD Radeon RX 5600 XT",16 GB RAM,"NVIDIA RTX 3070 (8G VRAM), AMD Radeon RX 6800 XT"
2,Grand Theft Auto V,2015. April 14.,"Action, Adventure",Rockstar North,Rockstar Games,4 GB RAM,"NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10, 10.1, 11)",8 GB RAM,NVIDIA GTX 660 2GB / AMD HD 7870 2GB
3,Fortnite,2017. July 25.,"Action, Battle Royale",Epic Games,Epic Games,8 GB RAM,"Intel HD 4000, AMD Radeon Vega 8",16 GB RAM or higher,"Nvidia GTX 960, AMD R9 280, or equivalent DX11 GPU, 2 GB VRAM"
4,Split Fiction,2025. March 06.,"Action, Adventure",Hazelight Studios,Electronic Arts,16 GB RAM,NVIDIA GeForce GTX 970 - 4GB or Radeon RX 470 - 4GB,16 GB RAM,NVIDIA GeForce RTX 3070 - 8GB or AMD Radeon RX 6700 XT - 12GB
5,Cyberpunk 2077,2020. December 10.,"Action, Adventure, Role-playing game",CD Projekt RED,CD Projekt RED,12 GB,"Geforce GTX 1060 6GB or Radeon RX 580 8GB or Arc A380, VRAM: 6 GB",16 GB,"Geforce RTX 2060 Super or Radeon RX 5700 XT or Arc A770, VRAM: 8 GB"
6,The Last of Us Part II Remastered,2025. April 03.,"Action, Adventure, TPS","Iron Galaxy Studios, Naughty Dog, Nixxes Software",PlayStation Publishing,16 GB RAM,"NVIDIA GeForce GTX 1650, AMD Radeon RX 5500 XT",16 GB RAM,"NVIDIA GeForce RTX 3060, AMD Radeon RX 5700"
7,Red Dead Redemption 2,2019. November 05.,"Action, Adventure",Rockstar Games,Rockstar Games,8 GB RAM,Nvidia GeForce GTX 770 2GB / AMD Radeon R9 280 3GB,12 GB RAM,Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB
8,Monster Hunter Wilds,2025. February 28.,"Action, Role-playing game",CAPCOM,CAPCOM,16 GB RAM,NVIDIA® GeForce® GTX 1660 (VRAM 6GB) or AMD Radeon™ RX 5500 XT (VRAM 8GB),16 GB RAM,NVIDIA® GeForce® RTX 2060 Super (VRAM 8GB) or AMD Radeon™ RX 6600 (VRAM 8GB)
9,eFootball,2021. September 30.,"Simulation, Sports",Konami Digital Entertainment,Konami Digital Entertainment,8 GB RAM,GeForce GTX 660 Ti / Radeon HD 7790,8 GB RAM,GeForce GTX 1060 / AMD Radeon RX 590
