,cpu_name,n_cores,cpu_frequency
0,Intel® Core™ 3 Processor 201EF,4,4.8 GHz
1,Intel® Core™ 3 Processor 201E,4,4.8 GHz
2,Intel® Core™ 3 Processor 201TE,4,4.6 GHz
3,Intel® Core™ 5 Processor 211E,10,4.9 GHz
4,Intel® Core™ 5 Processor 211EF,10,4.9 GHz
5,Intel® Core™ 5 Processor 211TE,10,4.8 GHz
6,Intel® Core™ 5 Processor 221E,14,5.2 GHz
7,Intel® Core™ 5 Processor 221TE,14,5 GHz
8,Intel® Core™ 7 Processor 251E,24,5.6 GHz
9,Intel® Core™ 7 Processor 251TE,24,5.4 GHz
10,Processador Intel® Core™ 3 N350,8,3.9 GHz
11,Processador Intel® Core™ 3 N355,8,3.9 GHz
12,Processador Intel® Core™ 5 220U,10,5 GHz
13,Processador Intel® Core™ 7 250U,10,5.4 GHz
14,Processador Intel® Core™ 5 210H,8,4.8 GHz
15,Processador Intel® Core™ 5 220H,12,4.9 GHz
16,Processador Intel® Core™ 7 240H,10,5.2 GHz
17,Processador Intel® Core™ 7 250H,14,5.4 GHz
18,Intel® Core™ 9 processor 270H,14,5.8 GHz
19,Processador Intel® Core™ i5 14401E,6,4.7 GHz
20,Processador Intel® Core™ i5 14401TE,6,4.5 GHz
21,Processador Intel® Core™ i5 14501E,6,5.2 GHz
22,Processador Intel® Core™ i5 14501TE,6,5.1 GHz
23,Processador Intel® Core™ i7 14701E,8,5.4 GHz
24,Processador Intel® Core™ i7 14701TE,8,5.2 GHz
25,Processador Intel® Core™ i9 14901E,8,5.6 GHz
26,Processador Intel® Core™ i9 14901TE,8,5.5 GHz
27,Processador Intel® Core™ 7 150HL,14,5 GHz
28,Processador Intel® Core™ 3 100HL,8,4.6 GHz
29,Processador Intel® Core™ 3 100UL,6,4.5 GHz
30,Processador Intel® Core™ 5 120HL,12,4.7 GHz
31,Processador Intel® Core™ 5 120UL,10,4.6 GHz
32,Processador Intel® Core™ 5 130HL,12,4.8 GHz
33,Processador Intel® Core™ 5 130UL,10,4.7 GHz
34,Processador Intel® Core™ 7 150UL,10,5 GHz
35,Processador Intel® Core™ 7 160HL,14,5.2 GHz
36,Processador Intel® Core™ 7 160UL,10,5.2 GHz
37,Processador Intel® Core™ i9 14900KS,24,6.2 GHz
38,Processador Intel® Core™ 3 100U,6,4.7 GHz
39,Processador Intel® Core™ 3 100U,6,4.7 GHz
40,Processador Intel® Core™ 5 120U,10,5 GHz
41,Processador Intel® Core™ 7 150U,10,5.4 GHz
42,Processador Intel® Core™ i3 14100,4,4.7 GHz
43,Processador Intel® Core™ i3 14100F,4,4.7 GHz
44,Processador Intel® Core™ i3 14100T,4,4.4 GHz
45,Processador Intel® Core™ i5 14400,10,4.7 GHz
46,Processador Intel® Core™ i5 14400F,10,4.7 GHz
47,Processador Intel® Core™ i5 14400T,10,4.5 GHz
48,Processador Intel® Core™ i5 14450HX,10,4.8 GHz
49,Processador Intel® Core™ i5 14500,14,5 GHz
50,Processador Intel® Core™ i5 14500HX,14,4.9 GHz
51,Processador Intel® Core™ i5 14500T,14,4.8 GHz
52,Processador Intel® Core™ i5 14600,14,5.2 GHz
53,Processador Intel® Core™ i5 14600T,14,5.1 GHz
54,Processador Intel® Core™ i7 14650HX,16,5.2 GHz
55,Processador Intel® Core™ i7 14700,20,5.4 GHz
56,Processador Intel® Core™ i7 14700F,20,5.4 GHz
57,Processador Intel® Core™ i7 14700HX,20,5.5 GHz
58,Processador Intel® Core™ i7 14700T,20,5.2 GHz
59,Processador Intel® Core™ i9 14900,24,5.8 GHz
60,Processador Intel® Core™ i9 14900F,24,5.8 GHz
61,Processador Intel® Core™ i9 14900HX,24,5.8 GHz
62,Processador Intel® Core™ i9 14900T,24,5.5 GHz
63,Processador Intel® Core™ i5 14600K,14,5.3 GHz
64,Processador Intel® Core™ i5 14600KF,14,5.3 GHz
65,Processador Intel® Core™ i7 14700K,20,5.6 GHz
66,Processador Intel® Core™ i7 14700KF,20,5.6 GHz
67,Processador Intel® Core™ i9 14900K,24,6 GHz
68,Processador Intel® Core™ i9 14900KF,24,6 GHz
69,Processador Intel® Core™ i9-13900KS,24,6.00 GHz
70,Processador Intel® Core™ i3-1305U,5,4.50 GHz
71,Processador Intel® Core™ i3-13100,4,4.50 GHz
72,Processador Intel® Core™ i3-13100E,4,4.40 GHz
73,Processador Intel® Core™ i3-13100F,4,4.50 GHz
74,Processador Intel® Core™ i3-13100T,4,4.20 GHz
75,Processador Intel® Core™ i3-13100TE,4,4.10 GHz
76,Processador Intel® Core™ i3-1315U,6,4.5 GHz
77,Processador Intel® Core™ i3-1315U,6,4.50 GHz
78,Processador Intel® Core™ i3-1315UE,6,4.50 GHz
79,Processador Intel® Core™ i3-1315URE,6,4.50 GHz
80,Processador Intel® Core™ i3-1320PE,8,4.50 GHz
81,Processador Intel® Core™ i3-13300HE,8,4.6 GHz
82,Processador Intel® Core™ i3-N300,8,3.80 GHz
83,Processador Intel® Core™ i3-N305,8,3.80 GHz
84,Processador Intel® Core™ i5-1334U,10,4.60 GHz
85,Processador Intel® Core™ i5-1335U,10,4.6 GHz
86,Processador Intel® Core™ i5-1335UE,10,4.50 GHz
87,Processador Intel® Core™ i5-13400,10,4.60 GHz
88,Processador Intel® Core™ i5-13400E,10,4.60 GHz
89,Processador Intel® Core™ i5-13400F,10,4.60 GHz
90,Processador Intel® Core™ i5-13400T,10,4.40 GHz
91,Processador Intel® Core™ i5-1340P,12,4.60 GHz
92,Processador Intel® Core™ i5-1340PE,12,4.50 GHz
93,Processador Intel® Core™ i5-13420H,8,4.60 GHz
94,Processador Intel® Core™ i5-13450HX,10,4.60 GHz
95,Processador Intel® Core™ i5-1345U,10,4.7 GHz
96,Processador Intel® Core™ i5-1345UE,10,4.60 GHz
97,Processador Intel® Core™ i5-1345URE,10,4.60 GHz
98,Processador Intel® Core™ i5-13500,14,4.80 GHz
99,Processador Intel® Core™ i5-13500E,14,4.60 GHz
100,Processador Intel® Core™ i5-13500H,12,4.7 GHz
101,Processador Intel® Core™ i5-13500H,12,4.70 GHz
102,Processador Intel® Core™ i5-13500HX,14,4.70 GHz
103,Processador Intel® Core™ i5-13500T,14,4.60 GHz
