,game_name,release_date,genre,developer,publisher,ram_minimum,ram_recommended,gpu_minimum_benchmark_score,gpu_recommended_benchmark_score
0,Assassin's Creed Shadows,2025. March 20.,"Action, Adventure",Ubisoft Quebec,Ubisoft,16,16,1341.0,2794.0
1,inZOI,2025. March 28.,"Simulation, Life simulation",inZOI Studio,Krafton,12,16,1801.0,3162.0
2,Split Fiction,2025. March 06.,"Action, Adventure",Hazelight Studios,Electronic Arts,16,16,472.0,3162.0
3,Cyberpunk 2077,2020. December 10.,"Action, Adventure, Role-playing game",CD Projekt RED,CD Projekt RED,12,16,907.0,2016.0
4,The Last of Us Part II Remastered,2025. April 03.,"Action, Adventure, TPS","Iron Galaxy Studios, Naughty Dog, Nixxes Software",PlayStation Publishing,16,16,329.0,1997.0
5,Red Dead Redemption 2,2019. November 05.,"Action, Adventure",Rockstar Games,Rockstar Games,8,12,,907.0
6,Monster Hunter Wilds,2025. February 28.,"Action, Role-playing game",CAPCOM,CAPCOM,16,16,1066.0,2016.0
7,eFootball,2021. September 30.,"Simulation, Sports",Konami Digital Entertainment,Konami Digital Entertainment,8,8,,907.0
8,The Last of Us Part I,2023. March 28.,"Action, Adventure","Iron Galaxy Studios, Naughty Dog",PlayStation Publishing,16,16,472.0,2416.0
9,Euro Truck Simulator 2,2012. October 18.,Simulation,SCS Software,SCS Software,8,12,,1066.0
10,Jurassic World Evolution 2,2021. November 09.,"Simulation, Construction and management simulation",Frontier Developments,Frontier Developments,8,12,334.0,1341.0
11,Farming Simulator 25,2024. November 12.,"Simulation, Farming simulation",Giants Software,Giants Software,8,12,334.0,2106.0
12,Ghost of Tsushima,2024. May 16.,"Action, Adventure","Nixxes Software, Sucker Punch Productions",PlayStation Publishing,8,16,162.0,1801.0
13,Kingdom Come: Deliverance II,2025. February 04.,"Action, Role-playing game",Warhorse Studios,Deep Silver,16,24,907.0,1997.0
14,EA SPORTS FC 25,2024. September 27.,"Simulation, Sports","EA Canada, EA Romania",Electronic Arts,8,12,334.0,1066.0
15,Forza Horizon 5,2021. November 05.,"Simulation, Racing",Playground Games,Xbox Game Studios,8,16,472.0,1341.0
16,Marvel Rivals,2024. December 06.,"Action, TPS",NetEase Games,NetEase Games,16,16,907.0,1801.0
17,Marvel's Spider-Man 2,2025. January 30.,"Action, Adventure","Insomniac Games, Nixxes Software",PlayStation Publishing,16,16,329.0,1997.0
18,S.T.A.L.K.E.R. 2: Heart of Chornobyl,2024. November 20.,"Action, FPS, Survival horror",GSC Game World,GSC Game World,16,32,907.0,3477.0
19,ELDEN RING,2022. February 25.,"Action, Role-playing game, Souls-like",FromSoftware,"Bandai Namco Entertainment, FromSoftware",12,16,907.0,1341.0
20,Resident Evil 4 Remake,2023. March 24.,"Action, Survival horror",CAPCOM,CAPCOM,8,16,334.0,1341.0
21,FragPunk,2025. March 07.,"Action, FPS",Bad Guitar Studio,Bad Guitar Studio,8,16,112.0,1997.0
22,Delta Force,2024. December 05.,"Action, FPS, Tactical shooter, MMO",Team Jade,TiMi Studio Group,8,16,,907.0
23,F1 24,2024. May 31.,"Simulation, Sports, Racing",Codemasters,Electronic Arts,8,16,907.0,2106.0
24,Indiana Jones and the Great Circle,2024. December 09.,"Action, Adventure, First-person",Machine Games,Bethesda Softworks,16,32,2016.0,5076.0
25,Detroit: Become Human,2019. December 12.,Adventure,Quantic Dream,Quantic Dream,8,12,,907.0
26,God of War Ragnarök,2024. September 19.,"Action, Adventure, Role-playing game","Jetpack Interactive, Santa Monica Studio",PlayStation Publishing,8,16,907.0,2016.0
27,PUBG: BATTLEGROUNDS,2017. December 21.,"Action, Battle Royale",PUBG Corporation,Krafton,8,16,162.0,907.0
28,Tom Clancy's Rainbow Six Siege,2015. December 01.,"Action, FPS, Tactical shooter",Ubisoft Montreal,Ubisoft,6,8,,
29,Assassin's Creed Mirage,2023. October 05.,"Action, Adventure",Ubisoft Montreal,Ubisoft,8,16,907.0,1309.0
30,Call of Duty: Black Ops 6,2024. October 25.,"Action, FPS","Raven Software, Treyarch",Activision,8,12,162.0,2230.0
31,Black Myth: Wukong,2024. August 20.,"Action, Role-playing game",Game Science Studio,Game Science Studio,16,16,907.0,1801.0
32,eFootball PES 2021,2020. September 15.,Sports,Konami Digital Entertainment,Konami Digital Entertainment,8,8,,
