,gpu_name,market_share,benchmark_score
0,NVIDIA GeForce RTX 4060,0.10556186152099886,2301.0
1,NVIDIA GeForce RTX 3060,0.08487829486694413,1997.0
2,NVIDIA GeForce RTX 4060 Ti,0.08071635767435996,2912.0
3,NVIDIA GeForce RTX 4070,0.06684323369907934,3853.0
4,NVIDIA GeForce RTX 3070,0.052717871106066336,3162.0
5,NVIDIA GeForce RTX 3060 Ti,0.04868205322234834,2794.0
6,NVIDIA GeForce RTX 4060 Laptop GPU,0.04565518980955985,2257.0
7,NVIDIA GeForce RTX 4070 SUPER,0.04439399672089798,4625.0
8,NVIDIA GeForce RTX 2060,0.038592508513053354,1801.0
9,NVIDIA GeForce GTX 1650,0.031025349981082105,329.0
10,NVIDIA GeForce GTX 1060,0.027494009332828858,907.0
11,NVIDIA GeForce RTX 3050,0.027115651406230293,1329.0
12,NVIDIA GeForce RTX 3080,0.025602219699836046,4789.0
13,NVIDIA GeForce RTX 3060 Laptop GPU,0.025223861773237485,1823.0
14,NVIDIA GeForce RTX 3070 Ti,0.019170134947660487,3477.0
15,NVIDIA GeForce GTX 1660 SUPER,0.019170134947660487,1282.0
16,NVIDIA GeForce RTX 2060 SUPER,0.016521629461470552,2016.0
17,NVIDIA GeForce GTX 1050 Ti,0.016395510152604365,334.0
18,NVIDIA GeForce RTX 4070 Ti,0.013747004666414429,5567.0
19,NVIDIA GeForce RTX 4080 SUPER,0.012359692268886367,6599.0
20,NVIDIA GeForce GTX 1660 Ti,0.011981334342287805,1309.0
21,NVIDIA GeForce RTX 2070 SUPER,0.011729095724555431,2416.0
22,NVIDIA GeForce RTX 4050 Laptop GPU,0.011476857106823056,1788.0
23,NVIDIA GeForce RTX 2070,0.011350737797956869,2106.0
24,NVIDIA GeForce RTX 4070 Laptop GPU,0.010341783327027367,2699.0
25,NVIDIA GeForce GTX 1660,0.009963425400428808,1066.0
26,NVIDIA GeForce RTX 4080,0.009206709547231682,6562.0
27,NVIDIA GeForce RTX 4090,0.008954470929499306,9221.0
28,NVIDIA GeForce GTX 1070,0.008954470929499306,1341.0
29,NVIDIA GeForce RTX 4070 Ti SUPER,0.008702232311766932,
30,NVIDIA GeForce GTX 1050,0.00781939714970362,122.0
31,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0.007567158531971246,
32,NVIDIA GeForce RTX 3080 Ti,0.007567158531971246,5076.0
33,NVIDIA GeForce GTX 1080,0.006053726825576995,1625.0
34,NVIDIA GeForce RTX 3070 Laptop GPU,0.005675368898978434,2379.0
35,NVIDIA GeForce RTX 2080 SUPER,0.005423130281246059,2757.0
36,NVIDIA GeForce RTX 3050 Laptop GPU,0.005170891663513684,414.0
37,NVIDIA GeForce GTX 1650 Ti,0.0050447723546474975,324.0
38,NVIDIA GeForce RTX 3090,0.0049186530457813096,5117.0
39,NVIDIA GeForce GTX 1080 Ti,0.004288056501450373,2230.0
40,NVIDIA GeForce RTX 2080,0.003783579265985623,2601.0
41,NVIDIA GeForce RTX 2050,0.003657459957119435,
42,NVIDIA GeForce GTX 1650 SUPER,0.0035313406482532484,353.0
43,NVIDIA GeForce GTX 1070 Ti,0.0034052213393870605,1471.0
44,NVIDIA GeForce RTX 2080 Ti,0.0030268634127884977,3542.0
45,NVIDIA GeForce RTX 3070 Ti Laptop GPU,0.0030268634127884977,
46,NVIDIA GeForce GTX 970,0.0027746247950561236,472.0
47,NVIDIA GeForce GTX 960,0.0027746247950561236,162.0
48,NVIDIA GeForce GT 1030,0.0027746247950561236,
49,NVIDIA GeForce RTX 3050 6GB Laptop GPU,0.0025223861773237487,
50,NVIDIA GeForce GTX 750 Ti,0.0025223861773237487,112.0
51,NVIDIA GeForce RTX 4080 Laptop GPU,0.0021440282507251864,4177.0
